y_true,y_pred,y_pred_p
1,0,0.0689511119294153
1,0,0.14331280552438716
1,1,0.606997784810283
0,0,0.061636447276010725
0,0,0.11154266570889454
0,0,0.06171862264435097
0,0,0.1793622449335936
0,0,0.42765488706698096
1,0,0.3916172162383341
0,0,0.11299835105735216
0,0,0.160722108662495
0,0,0.20445311925190887
0,0,0.10605870268953871
0,0,0.09445174188813192
0,0,0.05300230012914988
0,0,0.13313356496736417
0,0,0.15414265957852386
0,0,0.07780352008375789
1,1,0.7714571110945687
0,1,0.5384498718282026
0,0,0.09610137144059888
1,0,0.12054813692180563
0,0,0.05531569145492342
0,0,0.06567365754660996
0,0,0.14888683644198425
0,0,0.17356174541637817
0,0,0.14516513118350427
1,1,0.7643692681694806
0,0,0.07995574335988233
0,0,0.28305507237508787
0,1,0.7246498467497475
1,0,0.47122003644323684
0,1,0.5402972270119062
1,1,0.7199789811525519
0,0,0.08256388773911351
0,0,0.07773376452138091
0,0,0.0805694221879283
0,0,0.06981171491537003
0,0,0.16582805617217264
1,1,0.6205233713009868
0,0,0.15828697518310517
0,0,0.10912998931353912
1,0,0.14545825447132202
0,0,0.31292353649417587
1,0,0.13823704483327925
1,0,0.1502541847778344
0,0,0.20968009264093632
0,0,0.16057412429085283
0,0,0.2566176208990204
0,0,0.15216371444829555
1,1,0.5371395745384722
0,1,0.7586085786966604
0,0,0.06445446150865565
0,0,0.10310559527270478
0,0,0.19820653067784483
0,0,0.0774753469226169
0,0,0.08080020476481053
0,0,0.17486104296692628
0,0,0.072738132350187
0,0,0.1742551365156875
0,0,0.17480553385852723
1,0,0.17346603209987344
0,0,0.2298417278619655
0,0,0.14516513118350427
0,0,0.043411225130826174
1,1,0.7186857128510236
0,0,0.10714711982232396
0,0,0.2145828815789922
1,0,0.34100510225870123
0,0,0.273875871359777
0,0,0.32225951350604043
0,0,0.29773254268006716
1,1,0.7202868269146897
0,0,0.21538847441654807
0,0,0.046466495567060416
0,0,0.06864598490130226
0,0,0.0958151722028623
1,0,0.17157045765477497
0,0,0.15475439439707842
0,0,0.15004492277374643
0,0,0.14113871537472225
0,0,0.2098054553134281
0,0,0.11994358956389987
0,0,0.30818303089758126
1,0,0.17580541493208346
0,0,0.1093168831353278
0,0,0.16719618748259557
0,0,0.08370622502669292
1,1,0.8132182968011571
0,0,0.11483053896220571
0,0,0.22832215698897293
1,1,0.7639367340646734
0,0,0.14929791102302575
0,0,0.17268519119296147
1,0,0.45906430754013683
0,0,0.09767060164991594
1,1,0.719630758930322
0,0,0.23454008511608704
0,0,0.09920213554891028
1,0,0.30469059811044913
0,0,0.05808662774889445
1,0,0.12798344165700978
0,0,0.08039509284925968
0,0,0.18229770441520327
0,0,0.15695244262641048
1,1,0.5323691186072461
0,0,0.07850328338652891
0,0,0.17658437614122635
0,0,0.14997983214970098
0,0,0.14516513118350427
1,0,0.08334429699318947
0,0,0.3055616473458075
0,0,0.08446871328907583
0,0,0.08062371411617651
0,0,0.09154432285664592
0,0,0.15136246584679672
1,1,0.6922648834151514
0,0,0.0536421224193817
0,0,0.09036774124624197
0,0,0.13658217280266757
0,0,0.19954738716279632
1,0,0.11570221238987277
0,0,0.10887569170257012
0,0,0.08935658917390248
1,0,0.1784560300446532
1,0,0.27489228944393174
1,0,0.16057412429085283
1,1,0.7925671248546453
0,0,0.09625879059670472
0,0,0.1586658845342712
1,0,0.30988491652299865
0,0,0.06045688979627558
0,0,0.15956820162244637
0,0,0.030846751172160326
1,0,0.150538068181924
1,1,0.6952384008770763
0,0,0.22674376050387846
0,0,0.20150973584304055
0,1,0.6150431427993901
0,0,0.12377092372487164
0,0,0.3966282811933734
0,0,0.28723989942729267
0,0,0.1077553489824471
0,0,0.11493689208950061
1,0,0.20178333582723948
1,0,0.04478215941132865
0,0,0.09602978660735342
0,0,0.13277383220157316
1,0,0.360929853736999
0,0,0.3358935407801236
1,0,0.2266265735624223
1,0,0.36613960075298607
1,1,0.8049020461757135
0,0,0.14828016543950664
0,0,0.08336760596335807
0,0,0.1342422417142085
0,0,0.17770556427805834
0,0,0.15061433906359784
0,0,0.06541691326877704
0,0,0.24457170228565336
0,0,0.06658403287627171
1,1,0.6833612256696416
0,0,0.0823254980648245
0,0,0.24652020863316282
1,1,0.6827789406762564
0,0,0.04602686321186793
0,0,0.17659515462191938
0,0,0.09755853950370474
